Year,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,AST_PER_TO,AST,OREB_PCT,DREB_PCT,REB_PCT,TOV_PCT,eFG_PCT,TS_PCT,PACE,PIE,POSS
2006,Golden State Warriors,82,34,48,3966,103.5,104.9,-1.4,57.6,1.47,15.9,29.6,68.6,48.5,14.8,47.9,52.1,94.43,47.5,"7,800"
2006,Houston Rockets,82,34,48,3966,100.4,102.1,-1.7,58.3,1.32,15.8,29.1,70.5,50.1,16.2,47.1,51.9,89.07,49,"7,358"
2006,Indiana Pacers,82,41,41,3946,103.1,101,2,58.5,1.3,16,30.4,69.9,50.6,16.8,48.7,53.3,90.85,51.4,"7,470"
2006,Los Angeles Clippers,82,47,35,3961,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54,92.99,52.3,"7,675"
2006,Los Angeles Lakers,82,45,37,3971,106.8,104.2,2.6,58,1.52,16.5,31.6,70.1,50.7,15,49.5,53.9,92.22,51.8,"7,632"
2006,Memphis Grizzlies,82,49,33,3971,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69,49.6,15.7,49.6,53.7,87.39,51.6,"7,232"
2006,Miami Heat,82,52,30,3951,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8,"7,622"
2006,Milwaukee Bucks,82,40,42,3971,104.9,105.9,-1,59.4,1.48,16.8,30.9,71.3,50.7,15.7,49.2,53.5,92.45,48.6,"7,646"
2006,Minnesota Timberwolves,82,33,49,3971,101.5,103.5,-2,59.4,1.44,16.9,29.6,67.3,49,16,48,52.4,89.58,50.3,"7,409"
2006,New Jersey Nets,82,49,33,3956,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73,50.1,14.9,47.8,52.8,91.17,51.3,"7,513"
2006,New Orleans/Oklahoma City Hornets,82,38,44,3961,102.3,105.1,-2.8,53.7,1.39,15.1,29.7,70.9,49.7,14.7,46.4,51.5,90.32,48.4,"7,442"
2006,New York Knicks,82,23,59,3986,102.7,109.3,-6.6,52,1.01,14.2,34.2,69.7,51.8,19,48.1,53.4,92.03,44.4,"7,633"
2006,Orlando Magic,82,36,46,3981,105.3,106.6,-1.3,51.4,1.21,15,33,69.1,51.6,16.8,49.6,54.3,89.12,49.5,"7,395"
2006,Philadelphia 76ers,82,38,44,3981,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2,"7,780"
2006,Phoenix Suns,82,54,28,3991,110.2,104.7,5.4,63.5,2,19.5,25.6,69,48,13.5,53.7,56.8,96.92,54.7,"8,067"
2006,Portland Trail Blazers,82,21,61,3946,99.7,110.3,-10.7,53.4,1.24,15.1,30.8,65.7,48,16.5,47.4,51.1,88.88,42.4,"7,308"
2006,Sacramento Kings,82,44,38,3966,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5,"7,701"
2006,San Antonio Spurs,82,63,19,3961,106.2,98.7,7.5,57.4,1.52,17,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4,"7,382"
2006,Seattle SuperSonics,82,35,47,3966,109.4,112.7,-3.3,55.1,1.4,16,34,65.9,49.5,15.7,50.4,55.1,93.04,46.7,"7,689"
2006,Toronto Raptors,82,27,55,3991,107.9,111.2,-3.2,52.9,1.49,15.5,28.6,69.7,48.4,13.9,50,54.8,92.33,45.9,"7,678"
2006,Utah Jazz,82,41,41,3976,102.4,105.1,-2.7,64.6,1.37,16.9,35.6,70.2,52.6,17.4,46.7,51.9,89.4,49.7,"7,398"
2006,Washington Wizards,82,42,40,3966,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3,"7,742"
2007,Atlanta Hawks,82,30,52,3976,102,107,-5.1,55.6,1.2,15.3,32.8,67.6,49.9,17.3,47.1,52.3,90.98,46.6,"7,533"
2007,Boston Celtics,82,24,58,3971,102.3,105.8,-3.5,57,1.21,15.6,30.9,70.5,50.2,17.6,47.9,53,92.91,45.9,"7,680"
2007,Charlotte Bobcats,82,33,49,4001,102.4,106.3,-3.9,62,1.5,17.1,29.9,68.2,48.5,15.8,48,52.4,93.11,47.1,"7,758"
2007,Chicago Bulls,82,49,33,3956,104,98.8,5.2,60.1,1.4,17,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9,"7,790"
2007,Cleveland Cavaliers,82,50,32,3976,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52,"7,598"
2007,Dallas Mavericks,82,67,15,3951,109.7,102.1,7.6,54.2,1.43,16,32,71.9,52.2,15.2,50.9,55.9,90.68,55.2,"7,476"
2007,Denver Nuggets,82,45,37,3956,106.7,105.1,1.7,60.7,1.42,17.1,32.2,67.8,50.2,16.7,50.1,54.8,98.2,51.4,"8,093"
2007,Detroit Pistons,82,53,29,3976,107.4,102.6,4.8,60.1,1.77,17.3,30.7,67.8,49.3,13.7,48.8,53.5,88.56,53.3,"7,332"
2007,Golden State Warriors,82,42,40,3951,106.2,106.5,-0.3,59.8,1.49,17.3,28.5,66.2,47.2,15.9,51.2,54.8,99.97,48.9,"8,228"
2007,Houston Rockets,82,52,30,3971,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54,91.7,52.9,"7,598"
2007,Indiana Pacers,82,35,47,3956,101.9,104.4,-2.5,58.5,1.26,15.9,32.1,69.4,50.3,17.3,47.4,52.3,93.43,48.5,"7,697"
2007,Los Angeles Clippers,82,40,42,3946,103.8,104.2,-0.4,61.2,1.42,17,30.7,71.2,51.3,16.4,48.1,53.7,91.92,50.9,"7,554"
2007,Los Angeles Lakers,82,42,40,4006,107.3,107.5,-0.2,59.6,1.45,17.1,30,69,49.6,16.1,51.1,55.4,94.58,49.9,"7,898"
2007,Memphis Grizzlies,82,22,60,3996,105.7,110.9,-5.2,56,1.25,15.9,29.1,68.2,48.6,17,50.4,55.5,94.77,46.2,"7,883"
2007,Miami Heat,82,44,38,3971,103.4,104.6,-1.2,57.6,1.4,16.6,27.9,69.3,49.3,16,50.6,54.1,90.61,50.8,"7,503"
2007,Milwaukee Bucks,82,28,54,3971,106,110.3,-4.3,56.7,1.43,16.7,30.6,65.7,47.9,16.1,50.4,54.1,93.33,45.6,"7,709"
2007,Minnesota Timberwolves,82,32,50,4001,102.4,106.5,-4,61.7,1.45,17.5,29.2,69.8,50,16.6,49,53.7,92.19,48.7,"7,689"
2007,New Jersey Nets,82,41,41,3976,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9,"7,682"
2007,New Orleans/Oklahoma City Hornets,82,39,43,3976,103.7,105.4,-1.6,51.7,1.29,14.9,31.8,71.9,51.4,15.7,47.9,52,91.19,48.5,"7,551"
